================================================================================
FVG (Fair Value Gap) Analysis Results
Time Window: 8:30 - 10:00
================================================================================

SUMMARY BY YEAR
--------------------------------------------------------------------------------
Year     Trading Days    Bullish FVG     Bearish FVG     Total FVG   
--------------------------------------------------------------------------------
2018     257             520             483             1003        
2019     258             510             409             919         
2020     259             529             426             955         
2021     258             504             411             915         
2022     258             485             493             978         
2023     257             491             484             975         
2024     259             483             435             918         
2025     222             398             340             738         
--------------------------------------------------------------------------------
TOTAL                    3920            3481            7401        
17/01/2018   09:50:00     Bullish    2.3431         
18/01/2018   09:05:00     Bearish    5.5648         
18/01/2018   09:35:00     Bullish    2.3431         
19/01/2018   08:55:00     Bearish    11.1297        
19/01/2018   09:05:00     Bearish    3.5146         
19/01/2018   09:20:00     Bearish    0.2929         
19/01/2018   09:30:00     Bullish    1.7573         
19/01/2018   09:50:00     Bearish    6.1506         
19/01/2018   09:55:00     Bearish    2.3431         
22/01/2018   08:50:00     Bullish    0.2929         
22/01/2018   08:55:00     Bullish    1.1715         
22/01/2018   09:10:00     Bullish    5.8577         
22/01/2018   09:15:00     Bullish    4.1004         
22/01/2018   09:20:00     Bullish    6.7364         
23/01/2018   08:45:00     Bullish    4.6862         
23/01/2018   09:15:00     Bullish    5.2719         
24/01/2018   09:00:00     Bullish    6.7364         
24/01/2018   09:05:00     Bullish    0.2929         
24/01/2018   09:50:00     Bearish    0.8787         
24/01/2018   10:00:00     Bearish    1.1715         
25/01/2018   08:55:00     Bearish    13.7656        
25/01/2018   09:00:00     Bearish    7.0293         
25/01/2018   09:35:00     Bullish    1.4644         
26/01/2018   08:55:00     Bullish    0.2929         
26/01/2018   09:35:00     Bullish    0.2929         
26/01/2018   09:40:00     Bullish    8.4937         
29/01/2018   09:05:00     Bearish    4.3933         
29/01/2018   09:40:00     Bearish    10.2510        
30/01/2018   08:50:00     Bearish    2.9289         
30/01/2018   09:30:00     Bullish    10.8368        
30/01/2018   10:00:00     Bullish    16.4016        
31/01/2018   09:15:00     Bullish    2.0502         
31/01/2018   09:45:00     Bearish    2.6360         
01/02/2018   08:55:00     Bullish    1.1715         
01/02/2018   09:00:00     Bullish    1.7573         
01/02/2018   09:30:00     Bearish    2.6360         
01/02/2018   09:40:00     Bullish    10.8368        
02/02/2018   08:50:00     Bearish    7.3221         
02/02/2018   08:55:00     Bearish    13.7656        
02/02/2018   09:05:00     Bearish    9.9581         
02/02/2018   09:15:00     Bullish    2.9289         
02/02/2018   09:40:00     Bullish    6.1506         
05/02/2018   08:50:00     Bullish    0.5858         
05/02/2018   08:55:00     Bullish    2.6360         
05/02/2018   09:10:00     Bullish    12.5941        
05/02/2018   09:15:00     Bullish    12.8870        
05/02/2018   09:25:00     Bullish    9.6652         
05/02/2018   09:35:00     Bearish    7.6150         
05/02/2018   09:45:00     Bullish    2.0502         
05/02/2018   09:55:00     Bearish    0.8787         
06/02/2018   08:40:00     Bullish    17.5732        
06/02/2018   09:15:00     Bearish    0.5858         
06/02/2018   09:45:00     Bullish    26.3597        
07/02/2018   09:10:00     Bullish    6.4435         
07/02/2018   09:25:00     Bearish    0.8787         
07/02/2018   09:50:00     Bullish    11.7154        
08/02/2018   08:45:00     Bearish    16.9874        
08/02/2018   08:55:00     Bullish    1.1715         
08/02/2018   09:30:00     Bearish    1.1715         
08/02/2018   09:50:00     Bearish    16.9874        
08/02/2018   09:55:00     Bearish    12.3012        
09/02/2018   09:05:00     Bearish    4.3933         
09/02/2018   09:40:00     Bearish    16.9874        
09/02/2018   09:45:00     Bearish    29.8744        
12/02/2018   09:15:00     Bearish    7.6150         
12/02/2018   09:20:00     Bearish    0.5858         
12/02/2018   09:35:00     Bullish    6.1506         
14/02/2018   09:10:00     Bullish    24.3095        
15/02/2018   08:50:00     Bullish    2.3431         
15/02/2018   08:55:00     Bullish    7.3221         
15/02/2018   09:10:00     Bearish    4.9791         
15/02/2018   09:25:00     Bullish    2.6360         
15/02/2018   09:35:00     Bearish    1.1715         
15/02/2018   09:40:00     Bearish    4.6862         
15/02/2018   09:45:00     Bearish    18.7447        
15/02/2018   10:00:00     Bearish    13.4728        
16/02/2018   09:20:00     Bullish    1.1715         
16/02/2018   09:30:00     Bullish    3.5146         
16/02/2018   09:35:00     Bullish    1.4644         
19/02/2018   08:40:00     Bearish    2.0502         
19/02/2018   09:10:00     Bearish    5.2719         
19/02/2018   09:55:00     Bearish    1.4644         
19/02/2018   10:00:00     Bearish    3.5146         
20/02/2018   08:40:00     Bullish    6.4435         
20/02/2018   09:10:00     Bullish    1.1715         
20/02/2018   09:30:00     Bearish    3.2217         
20/02/2018   09:35:00     Bearish    6.4435         
20/02/2018   09:45:00     Bullish    1.1715         
21/02/2018   09:20:00     Bullish    0.8787         
22/02/2018   08:50:00     Bearish    2.3431         
22/02/2018   08:55:00     Bearish    3.5146         
23/02/2018   09:15:00     Bearish    2.3431         
23/02/2018   09:20:00     Bearish    0.5858         
23/02/2018   09:40:00     Bullish    3.5146         
26/02/2018   08:40:00     Bullish    8.2008         
26/02/2018   09:15:00     Bearish    0.8787         
26/02/2018   09:30:00     Bearish    1.4644         
27/02/2018   08:55:00     Bearish    12.0083        
27/02/2018   09:05:00     Bullish    0.5858         
27/02/2018   09:10:00     Bullish    11.1297        
27/02/2018   09:35:00     Bearish    2.9289         
27/02/2018   09:45:00     Bearish    4.3933         
27/02/2018   09:55:00     Bearish    13.7656        
28/02/2018   08:40:00     Bearish    2.6360         
28/02/2018   08:55:00     Bullish    7.9079         
28/02/2018   09:20:00     Bullish    2.9289         
28/02/2018   09:45:00     Bearish    9.9581         
28/02/2018   09:50:00     Bearish    2.6360         
28/02/2018   09:55:00     Bearish    7.6150         
28/02/2018   10:00:00     Bearish    2.3431         
01/03/2018   08:40:00     Bearish    6.7364         
01/03/2018   08:45:00     Bearish    15.5230        
01/03/2018   08:55:00     Bearish    0.8787         
01/03/2018   09:05:00     Bullish    22.5522        
01/03/2018   09:30:00     Bullish    16.9874        
01/03/2018   09:35:00     Bullish    11.7154        
01/03/2018   09:50:00     Bearish    2.6360         
01/03/2018   10:00:00     Bearish    7.9079         
02/03/2018   09:00:00     Bullish    2.9289         
02/03/2018   09:35:00     Bullish    7.9079         
02/03/2018   09:40:00     Bullish    1.1715         
05/03/2018   09:15:00     Bearish    2.3431         
05/03/2018   09:25:00     Bullish    1.4644         
05/03/2018   09:40:00     Bullish    10.8368        
05/03/2018   10:00:00     Bullish    14.6443        
06/03/2018   08:50:00     Bullish    1.1715         
06/03/2018   08:55:00     Bullish    6.7364         
06/03/2018   09:25:00     Bullish    3.2217         
06/03/2018   09:50:00     Bearish    9.6652         
06/03/2018   09:55:00     Bearish    4.1004         
06/03/2018   10:00:00     Bearish    0.2929         
07/03/2018   08:40:00     Bullish    0.8787         
07/03/2018   09:25:00     Bullish    10.8368        
08/03/2018   09:05:00     Bearish    0.5858         
08/03/2018   09:15:00     Bullish    2.0502         
09/03/2018   09:15:00     Bullish    4.6694         
09/03/2018   09:35:00     Bullish    1.4592         
09/03/2018   09:40:00     Bullish    5.2531         
12/03/2018   08:40:00     Bullish    7.0042         
12/03/2018   08:45:00     Bullish    4.6694         
12/03/2018   09:35:00     Bearish    0.5837         
12/03/2018   09:55:00     Bearish    4.3776         
13/03/2018   08:55:00     Bearish    5.5450         
13/03/2018   09:15:00     Bullish    1.1674         
13/03/2018   09:20:00     Bullish    3.2102         
13/03/2018   09:30:00     Bearish    7.8797         
13/03/2018   09:35:00     Bearish    18.3859        
13/03/2018   09:55:00     Bearish    6.1286         
14/03/2018   09:05:00     Bullish    13.7165        
14/03/2018   09:15:00     Bearish    18.9696        
15/03/2018   08:40:00     Bearish    1.1674         
15/03/2018   09:05:00     Bullish    4.3776         
15/03/2018   09:30:00     Bullish    8.7552         
15/03/2018   09:40:00     Bearish    0.2918         
15/03/2018   10:00:00     Bullish    6.1286         
16/03/2018   09:20:00     Bullish    2.6266         
16/03/2018   09:40:00     Bearish    0.8755         
16/03/2018   09:45:00     Bearish    2.9184         
19/03/2018   09:10:00     Bearish    2.0429         
19/03/2018   09:30:00     Bullish    2.9184         
19/03/2018   09:40:00     Bearish    4.6694         
19/03/2018   09:45:00     Bearish    12.8410        
19/03/2018   09:55:00     Bearish    11.3818        
20/03/2018   08:45:00     Bullish    9.0470         
20/03/2018   09:15:00     Bearish    2.3347         
20/03/2018   09:30:00     Bullish    7.8797         
21/03/2018   09:10:00     Bullish    2.6266         
21/03/2018   09:25:00     Bearish    2.9184         
22/03/2018   08:40:00     Bullish    3.5021         
22/03/2018   09:15:00     Bullish    2.6266         
22/03/2018   09:30:00     Bearish    2.3347         
22/03/2018   09:35:00     Bearish    4.6694         
22/03/2018   09:50:00     Bearish    0.8755         
23/03/2018   08:40:00     Bearish    3.7939         
23/03/2018   08:45:00     Bearish    16.9267        
23/03/2018   08:55:00     Bullish    8.7552         
23/03/2018   09:35:00     Bullish    1.1674         
26/03/2018   09:10:00     Bearish    2.3347         
26/03/2018   09:15:00     Bearish    2.3347         
26/03/2018   09:30:00     Bearish    9.6307         
26/03/2018   09:45:00     Bearish    4.9613         
27/03/2018   09:15:00     Bearish    10.2144        
27/03/2018   09:45:00     Bullish    0.5837         
28/03/2018   08:40:00     Bearish    25.6819        
28/03/2018   08:50:00     Bullish    13.7165        
28/03/2018   09:15:00     Bearish    9.3389         
28/03/2018   09:40:00     Bearish    3.7939         
28/03/2018   09:45:00     Bearish    5.8368         
29/03/2018   08:40:00     Bearish    3.2102         
29/03/2018   08:45:00     Bearish    1.4592         
29/03/2018   08:50:00     Bearish    10.5062        
29/03/2018   09:35:00     Bullish    9.3389         
29/03/2018   09:45:00     Bullish    4.6694         
29/03/2018   09:50:00     Bullish    1.1674         
29/03/2018   09:55:00     Bullish    11.9654        
29/03/2018   10:00:00     Bullish    2.6266         
02/04/2018   08:45:00     Bearish    14.3002        
02/04/2018   08:50:00     Bearish    20.1369        
02/04/2018   09:30:00     Bearish    1.1674         
02/04/2018   09:35:00     Bearish    0.5837         
02/04/2018   10:00:00     Bearish    4.3776         
03/04/2018   08:55:00     Bearish    7.2960         
03/04/2018   09:00:00     Bearish    8.1715         
03/04/2018   09:05:00     Bearish    0.2918         
03/04/2018   09:10:00     Bearish    13.1328        
03/04/2018   09:30:00     Bullish    11.6736        
03/04/2018   10:00:00     Bullish    20.1369        
04/04/2018   09:35:00     Bearish    2.9184         
04/04/2018   09:50:00     Bullish    25.9737        
05/04/2018   09:20:00     Bearish    2.6266         
06/04/2018   08:40:00     Bullish    0.8755         
06/04/2018   08:55:00     Bullish    2.0429         
06/04/2018   09:05:00     Bearish    2.9184         
06/04/2018   09:35:00     Bearish    3.5021         
06/04/2018   09:45:00     Bearish    6.7123         
09/04/2018   08:50:00     Bullish    21.3043        
09/04/2018   08:55:00     Bullish    14.0083        
09/04/2018   09:30:00     Bullish    7.0042         
09/04/2018   09:35:00     Bullish    1.7510         
10/04/2018   09:05:00     Bullish    2.0429         
10/04/2018   09:15:00     Bullish    0.2918         
10/04/2018   09:25:00     Bullish    0.5837         
10/04/2018   09:45:00     Bullish    2.0429         
11/04/2018   09:20:00     Bullish    1.1674         
11/04/2018   09:25:00     Bullish    7.5878         
11/04/2018   09:30:00     Bullish    12.5491        
11/04/2018   09:50:00     Bearish    4.3776         
11/04/2018   10:00:00     Bearish    5.5450         
12/04/2018   08:45:00     Bullish    11.6736        
12/04/2018   09:00:00     Bullish    3.5021         
13/04/2018   08:55:00     Bearish    7.8797         
13/04/2018   09:10:00     Bearish    6.4205         
13/04/2018   09:25:00     Bearish    1.7510         
13/04/2018   09:30:00     Bearish    6.1286         
13/04/2018   10:00:00     Bearish    10.7981        
16/04/2018   08:40:00     Bearish    2.0429         
16/04/2018   08:55:00     Bearish    6.4205         
16/04/2018   09:05:00     Bullish    8.4634         
16/04/2018   09:30:00     Bullish    0.8755         
16/04/2018   09:50:00     Bearish    4.0858         
17/04/2018   08:40:00     Bullish    3.7939         
17/04/2018   08:45:00     Bullish    3.2102         
17/04/2018   09:05:00     Bullish    0.2918         
17/04/2018   09:55:00     Bullish    2.3347         
18/04/2018   09:30:00     Bullish    0.5837         
18/04/2018   10:00:00     Bullish    1.4592         
19/04/2018   08:45:00     Bearish    0.2918         
19/04/2018   08:55:00     Bullish    1.4592         
19/04/2018   09:15:00     Bullish    10.2144        
19/04/2018   09:45:00     Bearish    1.1674         
20/04/2018   09:50:00     Bearish    8.7552         
20/04/2018   09:55:00     Bearish    4.3776         
23/04/2018   08:45:00     Bearish    0.8755         
23/04/2018   08:50:00     Bearish    4.0858         
23/04/2018   09:25:00     Bullish    4.0858         
23/04/2018   09:50:00     Bullish    11.3818        
24/04/2018   08:55:00     Bearish    17.5104        
24/04/2018   09:05:00     Bullish    0.5837         
24/04/2018   09:15:00     Bearish    10.2144        
24/04/2018   09:20:00     Bearish    24.8064        
24/04/2018   09:35:00     Bearish    1.7510         
24/04/2018   09:50:00     Bullish    3.5021         
24/04/2018   10:00:00     Bearish    15.7593        
25/04/2018   08:40:00     Bearish    21.0125        
25/04/2018   08:45:00     Bearish    3.2102         
25/04/2018   09:00:00     Bearish    9.3389         
25/04/2018   09:25:00     Bullish    2.6266         
25/04/2018   09:30:00     Bullish    5.5450         
25/04/2018   09:35:00     Bullish    4.6694         
25/04/2018   09:45:00     Bullish    4.6694         
26/04/2018   09:00:00     Bullish    6.1286         
26/04/2018   09:05:00     Bullish    1.1674         
26/04/2018   09:10:00     Bullish    15.1757        
26/04/2018   09:30:00     Bullish    0.2918         
26/04/2018   09:35:00     Bullish    2.3347         
26/04/2018   09:45:00     Bearish    3.2102         
26/04/2018   09:55:00     Bullish    1.4592         
27/04/2018   08:40:00     Bearish    5.5450         
27/04/2018   08:55:00     Bearish    19.5533        
27/04/2018   09:25:00     Bearish    4.3776         
27/04/2018   09:30:00     Bearish    16.6349        
27/04/2018   09:35:00     Bearish    11.0899        
27/04/2018   09:55:00     Bearish    3.2102         
30/04/2018   08:45:00     Bullish    8.4634         
30/04/2018   09:05:00     Bullish    3.5021         
30/04/2018   09:20:00     Bearish    3.7939         
01/05/2018   08:40:00     Bearish    1.1674         
01/05/2018   08:50:00     Bullish    11.0899        
01/05/2018   09:15:00     Bullish    4.0858         
01/05/2018   09:55:00     Bearish    2.3347         
01/05/2018   10:00:00     Bearish    0.2918         
02/05/2018   09:45:00     Bearish    4.6694         
03/05/2018   08:50:00     Bullish    6.7123         
03/05/2018   08:55:00     Bullish    9.3389         
03/05/2018   09:15:00     Bearish    2.9184         
03/05/2018   09:20:00     Bearish    3.2102         
03/05/2018   09:25:00     Bearish    8.1715         
03/05/2018   09:40:00     Bearish    7.5878         
03/05/2018   09:55:00     Bearish    0.2918         
04/05/2018   08:40:00     Bullish    7.8797         
04/05/2018   08:45:00     Bullish    2.6266         
04/05/2018   09:10:00     Bullish    16.0512        
04/05/2018   09:15:00     Bullish    4.9613         
04/05/2018   09:30:00     Bullish    11.3818        
04/05/2018   09:40:00     Bullish    9.6307         
07/05/2018   08:40:00     Bullish    11.0899        
07/05/2018   08:45:00     Bullish    6.4205         
07/05/2018   09:05:00     Bearish    1.4592         
07/05/2018   09:30:00     Bullish    2.9184         
07/05/2018   09:40:00     Bearish    4.6694         
08/05/2018   08:40:00     Bearish    0.8755         
08/05/2018   09:35:00     Bullish    13.4246        
08/05/2018   10:00:00     Bearish    3.7939         
09/05/2018   08:55:00     Bearish    4.0858         
09/05/2018   09:10:00     Bullish    1.4592         
09/05/2018   09:55:00     Bearish    14.0083        
10/05/2018   09:30:00     Bullish    2.0429         
11/05/2018   09:00:00     Bullish    4.9613         
11/05/2018   09:55:00     Bullish    1.4592         
14/05/2018   08:45:00     Bullish    9.0470         
14/05/2018   09:15:00     Bullish    3.2102         
14/05/2018   09:30:00     Bullish    0.8755         
14/05/2018   09:50:00     Bearish    2.0429         
15/05/2018   09:25:00     Bullish    0.8755         
15/05/2018   09:35:00     Bullish    9.9226         
15/05/2018   09:45:00     Bearish    4.9613         
16/05/2018   08:50:00     Bullish    0.8755         
16/05/2018   08:55:00     Bullish    2.0429         
16/05/2018   09:40:00     Bullish    1.4592         
16/05/2018   09:55:00     Bearish    1.1674         
16/05/2018   10:00:00     Bearish    1.1674         
17/05/2018   09:05:00     Bullish    9.6307         
17/05/2018   09:25:00     Bullish    0.5837         
17/05/2018   09:35:00     Bullish    5.2531         
17/05/2018   09:40:00     Bullish    4.0858         
17/05/2018   09:55:00     Bullish    2.0429         
18/05/2018   08:55:00     Bearish    0.5837         
18/05/2018   09:20:00     Bullish    0.2918         
18/05/2018   09:25:00     Bullish    3.5021         
18/05/2018   09:35:00     Bearish    9.9226         
21/05/2018   09:35:00     Bullish    2.3347         
22/05/2018   09:00:00     Bearish    0.2918         
22/05/2018   09:15:00     Bearish    10.2144        
23/05/2018   08:40:00     Bullish    8.4634         
23/05/2018   09:10:00     Bullish    7.5878         
23/05/2018   09:15:00     Bullish    0.2918         
23/05/2018   09:35:00     Bearish    1.7510         
23/05/2018   09:45:00     Bearish    0.2918         
23/05/2018   09:50:00     Bearish    0.8755         
24/05/2018   08:45:00     Bearish    7.0042         
24/05/2018   08:50:00     Bearish    18.0941        
24/05/2018   08:55:00     Bearish    0.2918         
24/05/2018   09:30:00     Bearish    1.1674         
24/05/2018   10:00:00     Bearish    3.5021         
25/05/2018   08:50:00     Bullish    0.2918         
25/05/2018   09:50:00     Bearish    5.5450         
25/05/2018   10:00:00     Bullish    4.0858         
28/05/2018   09:25:00     Bullish    1.4592         
28/05/2018   09:35:00     Bullish    1.7510         
28/05/2018   09:55:00     Bullish    1.7510         
29/05/2018   08:45:00     Bullish    4.6694         
29/05/2018   08:50:00     Bullish    1.4592         
29/05/2018   09:00:00     Bullish    2.9184         
29/05/2018   09:15:00     Bearish    1.4592         
29/05/2018   09:20:00     Bearish    0.2918         
29/05/2018   10:00:00     Bearish    6.4205         
30/05/2018   08:55:00     Bearish    4.0858         
30/05/2018   09:10:00     Bullish    3.2102         
30/05/2018   09:35:00     Bullish    2.6266         
30/05/2018   09:45:00     Bullish    7.5878         
31/05/2018   09:50:00     Bearish    12.2573        
01/06/2018   08:40:00     Bullish    10.2144        
01/06/2018   09:25:00     Bullish    13.7165        
01/06/2018   09:50:00     Bullish    3.7939         
01/06/2018   09:55:00     Bullish    5.8368         
04/06/2018   08:40:00     Bullish    1.7510         
04/06/2018   08:45:00     Bullish    1.1674         
04/06/2018   09:10:00     Bearish    3.5021         
04/06/2018   09:20:00     Bullish    6.7123         
04/06/2018   09:30:00     Bearish    1.4592         
04/06/2018   09:45:00     Bullish    4.3776         
04/06/2018   10:00:00     Bullish    0.8755         
05/06/2018   09:00:00     Bullish    0.2918         
05/06/2018   09:05:00     Bullish    2.6266         
05/06/2018   09:40:00     Bearish    4.9613         
06/06/2018   09:00:00     Bearish    10.5062        
06/06/2018   09:05:00     Bearish    1.4592         
06/06/2018   09:50:00     Bearish    6.1286         
06/06/2018   10:00:00     Bullish    12.2573        
07/06/2018   09:10:00     Bearish    11.3818        
07/06/2018   09:35:00     Bearish    16.9267        
07/06/2018   10:00:00     Bullish    3.7939         
08/06/2018   09:30:00     Bearish    8.1447         
08/06/2018   09:35:00     Bearish    1.1635         
08/06/2018   09:40:00     Bearish    1.1635         
08/06/2018   09:50:00     Bullish    3.7815         
08/06/2018   09:55:00     Bullish    11.3444        
11/06/2018   08:45:00     Bullish    2.6179         
12/06/2018   08:55:00     Bearish    0.8726         
12/06/2018   09:10:00     Bullish    1.1635         
12/06/2018   09:45:00     Bullish    1.7453         
13/06/2018   09:15:00     Bullish    3.4906         
13/06/2018   09:20:00     Bullish    2.3271         
13/06/2018   09:40:00     Bearish    3.7815         
14/06/2018   09:05:00     Bullish    15.7077        
14/06/2018   09:10:00     Bullish    1.1635         
14/06/2018   09:55:00     Bearish    0.2909         
14/06/2018   10:00:00     Bearish    5.8177         
15/06/2018   09:30:00     Bearish    4.3632         
15/06/2018   09:35:00     Bearish    7.5630         
15/06/2018   09:45:00     Bullish    5.5268         
15/06/2018   09:50:00     Bullish    1.7453         
18/06/2018   08:45:00     Bullish    6.3994         
18/06/2018   08:50:00     Bullish    3.1997         
18/06/2018   09:40:00     Bullish    11.0536        
18/06/2018   09:45:00     Bullish    4.3632         
18/06/2018   09:50:00     Bullish    6.9812         
19/06/2018   08:55:00     Bearish    6.3994         
19/06/2018   09:00:00     Bearish    5.2359         
19/06/2018   09:30:00     Bearish    3.1997         
19/06/2018   09:45:00     Bullish    2.9088         
19/06/2018   09:50:00     Bullish    14.2533        
20/06/2018   09:55:00     Bullish    1.4544         
21/06/2018   08:40:00     Bearish    2.6179         
21/06/2018   09:05:00     Bearish    15.4168        
21/06/2018   09:10:00     Bearish    10.1809        
21/06/2018   09:20:00     Bearish    20.6527        
21/06/2018   09:40:00     Bearish    2.6179         
21/06/2018   09:55:00     Bullish    10.1809        
22/06/2018   08:40:00     Bearish    7.5630         
22/06/2018   09:25:00     Bearish    7.8538         
22/06/2018   09:30:00     Bearish    13.3806        
22/06/2018   10:00:00     Bullish    1.7453         
25/06/2018   08:40:00     Bearish    17.7439        
25/06/2018   09:15:00     Bearish    0.8726         
25/06/2018   10:00:00     Bearish    5.2359         
26/06/2018   08:45:00     Bullish    22.6889        
27/06/2018   08:50:00     Bullish    11.0536        
27/06/2018   09:05:00     Bearish    4.9450         
27/06/2018   09:40:00     Bullish    4.3632         
27/06/2018   09:50:00     Bearish    3.4906         
28/06/2018   08:40:00     Bullish    0.8726         
28/06/2018   08:55:00     Bullish    5.2359         
28/06/2018   09:45:00     Bullish    13.3806        
29/06/2018   08:45:00     Bullish    3.1997         
29/06/2018   09:15:00     Bearish    4.0724         
29/06/2018   09:55:00     Bullish    1.7453         
02/07/2018   08:40:00     Bullish    8.1447         
02/07/2018   09:30:00     Bullish    11.0536        
03/07/2018   08:40:00     Bearish    8.1447         
03/07/2018   09:35:00     Bullish    2.9088         
03/07/2018   09:50:00     Bearish    5.2359         
04/07/2018   08:50:00     Bearish    3.7815         
04/07/2018   09:35:00     Bearish    1.1635         
04/07/2018   09:40:00     Bearish    3.1997         
04/07/2018   09:50:00     Bullish    0.5818         
05/07/2018   08:40:00     Bullish    0.5818         
05/07/2018   09:55:00     Bearish    6.6903         
06/07/2018   08:40:00     Bullish    10.4718        
06/07/2018   09:00:00     Bullish    0.8726         
06/07/2018   09:20:00     Bearish    1.7453         
06/07/2018   09:45:00     Bullish    4.0724         
09/07/2018   08:55:00     Bearish    7.2721         
09/07/2018   09:15:00     Bearish    9.0174         
09/07/2018   09:55:00     Bullish    0.8726         
10/07/2018   09:35:00     Bullish    4.0724         
10/07/2018   09:40:00     Bullish    2.3271         
11/07/2018   09:05:00     Bullish    2.9088         
11/07/2018   09:20:00     Bullish    8.7265         
11/07/2018   09:45:00     Bearish    2.9088         
11/07/2018   09:50:00     Bearish    2.3271         
12/07/2018   08:55:00     Bullish    5.8177         
12/07/2018   09:00:00     Bullish    4.0724         
12/07/2018   09:05:00     Bullish    3.7815         
12/07/2018   09:10:00     Bullish    0.2909         
12/07/2018   09:30:00     Bullish    7.8538         
13/07/2018   08:55:00     Bearish    2.6179         
13/07/2018   09:05:00     Bullish    6.6903         
13/07/2018   09:10:00     Bullish    4.0724         
16/07/2018   09:45:00     Bearish    1.7453         
16/07/2018   09:50:00     Bearish    4.0724         
17/07/2018   08:40:00     Bullish    2.0362         
17/07/2018   08:45:00     Bullish    8.4356         
17/07/2018   08:55:00     Bullish    0.8726         
17/07/2018   09:00:00     Bullish    0.5818         
17/07/2018   09:35:00     Bullish    2.6179         
17/07/2018   09:45:00     Bullish    2.3271         
17/07/2018   10:00:00     Bullish    0.5818         
18/07/2018   08:40:00     Bearish    0.2909         
18/07/2018   09:15:00     Bearish    2.0362         
18/07/2018   09:20:00     Bearish    4.0724         
19/07/2018   08:50:00     Bearish    4.0724         
19/07/2018   08:55:00     Bearish    11.0536        
19/07/2018   09:35:00     Bearish    0.2909         
19/07/2018   10:00:00     Bullish    4.0724         
20/07/2018   09:35:00     Bullish    0.2909         
20/07/2018   09:45:00     Bullish    4.9450         
20/07/2018   09:55:00     Bearish    2.0362         
23/07/2018   08:40:00     Bearish    11.3444        
23/07/2018   09:00:00     Bullish    10.1809        
23/07/2018   09:05:00     Bullish    6.3994         
23/07/2018   09:40:00     Bullish    12.7989        
24/07/2018   08:40:00     Bullish    7.5630         
24/07/2018   08:55:00     Bearish    1.1635         
24/07/2018   09:20:00     Bullish    3.7815         
24/07/2018   09:45:00     Bearish    5.8177         
